"p_x";"p_y";"p_z";"v_x";"v_y";"v_z";"q_x";"q_y";"q_z";"q_w"
-0.126704;0.0264728;-0.00691541;0.112801;-0.185186;0.00751076;0.0676905;0.0175178;-0.0635271;0.995528
-0.103427;-0.0183061;-0.00133172;0.0761116;-0.189762;0.0252541;0.0568544;0.0112417;-0.059717;0.996532
-0.0897246;-0.0669114;-0.000896314;0.0388441;-0.191542;0.017215;0.0588071;0.0141512;-0.0532612;0.996747
-0.0811743;-0.110721;-0.0023206;0.0454842;-0.167491;-0.0195972;0.0556405;0.0180849;-0.0481354;0.997126
-0.0715755;-0.149162;-0.0087949;0.0323523;-0.156327;-0.0203084;0.0548702;0.0187476;-0.0422579;0.997423
-0.0621078;-0.186831;-0.0109111;0.0348024;-0.134549;-0.0312848;0.0555192;0.0204292;-0.0390183;0.997486
-0.0448832;-0.211578;-0.0245384;0.132414;-0.0832082;-0.100022;0.0678623;0.022096;-0.0206084;0.997237
-0.00139235;-0.227336;-0.0494285;0.197577;-0.042898;-0.0726728;0.0867432;0.0146983;0.00937634;0.996078
0.0473319;-0.232228;-0.0609205;0.171099;0.00693355;-0.0391838;0.0964954;0.0110322;0.0442786;0.994287
0.0752084;-0.226299;-0.0716929;0.0605357;0.0393789;-0.051821;0.101954;0.00505334;0.0617658;0.992857
0.0777897;-0.218258;-0.0949145;-0.0339279;0.0510885;-0.113068;0.117425;0.00505652;0.0623953;0.991107
0.0522872;-0.20863;-0.124416;-0.165494;0.0258627;-0.10222;0.144924;0.0097419;0.0407495;0.988555
-0.00233072;-0.203258;-0.138992;-0.235037;0.0330952;-0.0399034;0.166029;0.0176967;0.00209311;0.98596
-0.0588032;-0.19278;-0.149005;-0.189761;0.0447368;-0.0474875;0.181913;0.0261313;-0.0353296;0.982332
-0.0990905;-0.182998;-0.155491;-0.165817;0.0349976;-0.024008;0.196482;0.0261673;-0.0723777;0.977482
-0.147635;-0.174383;-0.153894;-0.197646;0.0356203;0.0338736;0.201236;0.0314328;-0.115665;0.972182
-0.188265;-0.168092;-0.142824;-0.146934;0.0311402;0.0786818;0.193086;0.0407875;-0.158928;0.967366
-0.220901;-0.161485;-0.1195;-0.112187;0.0292003;0.100006;0.177978;0.0460184;-0.193119;0.963801
-0.243649;-0.15767;-0.0918158;-0.0726953;0.00120388;0.126891;0.154351;0.0518753;-0.217044;0.962485
-0.257226;-0.157665;-0.0552041;-0.0319155;-0.0150293;0.164575;0.11953;0.050065;-0.228711;0.96483
-0.261353;-0.161519;-0.00939675;0.000103174;-0.0237035;0.190649;0.0720845;0.0454193;-0.233358;0.968651
-0.254732;-0.170542;0.0334526;0.0510232;-0.0342004;0.145879;0.0345956;0.0440783;-0.229641;0.971661
-0.240073;-0.180134;0.0678584;0.0716918;-0.0371414;0.133113;0.000834643;0.0404699;-0.222324;0.974132
-0.218546;-0.187498;0.0982923;0.0924145;-0.0265027;0.126333;-0.0290984;0.0387089;-0.206403;0.977268
-0.19147;-0.195256;0.133361;0.126203;-0.0302089;0.136682;-0.0585638;0.0386045;-0.185194;0.980195
-0.153673;-0.206125;0.159081;0.168625;-0.0461884;0.0778138;-0.0823962;0.029074;-0.15905;0.983396
-0.110293;-0.215889;0.175946;0.167966;-0.0347881;0.0519575;-0.0960676;0.0220868;-0.126726;0.987028
-0.0692868;-0.221814;0.181923;0.162872;-0.0215598;0.00482012;-0.105414;0.0122843;-0.0931275;0.989982
-0.0277793;-0.227161;0.176029;0.169192;-0.0129038;-0.037285;-0.103565;-0.00213465;-0.0590534;0.992866
0.0130859;-0.227095;0.170547;0.156998;-0.0135195;-0.0377555;-0.0956633;-0.0133719;-0.0248636;0.995013
0.0535106;-0.228056;0.165555;0.181545;-0.00444187;-0.00406341;-0.0893385;-0.0253208;0.0119592;0.995608
0.104159;-0.229568;0.166067;0.201967;-0.00834743;0.00291198;-0.0875267;-0.0325939;0.0461059;0.994561
0.150471;-0.229665;0.166633;0.158156;0.0122947;-0.00349657;-0.0851541;-0.0409984;0.0773083;0.992518
